,nodeA,nodeB,polarity
396,Hunter,Mair,0.358
397,Joseph Russo III,Sarah Palin,0.0
398,Clinton,Clinton,0.7906
399,Clinton,Johnson,0.7906
400,Clinton,Johnson,0.7906
401,Anderson Cooper,Mair,0.2263
402,Bernie Sanders,Johnson,0.4215
403,Clinton,David Shuster,-0.3089
404,Clinton,Ted Strickland,-0.3182
405,Ted Strickland,Tim Kaine,-0.3182
406,Clinton,Tim Kaine,-0.3182
407,Bernie Sanders,Joe Biden,0.0
408,Bernie Sanders,Elizabeth Warren,0.0
409,Elizabeth Warren,Joe Biden,0.0
410,Doug Wead,Neil Cavuto,0.4939
411,George McGovern,Thomas Eagleton,-0.3818
412,@AdamShawNY,Twitter,0.1027
413,Frederic Van Leeuw,Ibrahim El Bakraoui,-0.875
414,Frederic Van Leeuw,Khalid El Bakraoui,-0.875
415,Ibrahim El Bakraoui,Khalid El Bakraoui,-0.875
416,Ibrahim El Bakraoui,Kalashnikov,-0.7096
417,Ibrahim El Bakraoui,RTBF,-0.7096
418,Kalashnikov,RTBF,-0.7096
419,Najim Laachraoui,Paul Cruickshank,0.0
420,Jordan,Netanyahu,0.0
421,Jordan,Netanyahu,-0.4019
422,Bernie Sanders,Hillary Clinton,0.0
423,Clinton,Clinton,-0.3182
424,Clinton,Clinton,-0.34
425,Chelsea,Clinton,-0.2732
426,Donald Trump,Ted Cruz,0.5719
427,Barack Obama,Lewis,0.25
428,Donald Trump,Hillary Clinton,0.4019
429,Gary Johnson,Hillary Clinton,0.4019
430,Donald Trump,Gary Johnson,0.4019
431,Clinton,Johnson,0.5423
432,Clinton,Jill Stein,0.5423
433,Clinton,Evan McMullin,0.5423
434,Jill Stein,Johnson,0.5423
435,Evan McMullin,Johnson,0.5423
436,Evan McMullin,Jill Stein,0.5423
437,Johnson,Stein,0.3612
438,Clinton,Trump,0.1027
439,Hillary Clinton,Trump,-0.6697
440,George HW Bush,Ross Perot,0.8126
441,Bill Clinton,Ross Perot,0.8126
442,Bill Clinton,George HW Bush,0.8126
443,George W Bush,Ralph Nader,0.8338
444,Johnson,William Weld,0.4588
445,Johnson,Stein,-0.5267
446,McMullin,Stein,-0.5267
447,Johnson,McMullin,-0.5267
448,Johnson,Stein,-0.7184
449,Bill Clinton,Mike McCurry,0.0
450,McCurry,Politico,0.0
451,Johnson,Stein,0.8625
452,Jeb Bush,Marco Rubio,-0.3182
453,Jeb Bush,John Kasich,-0.3182
454,John Kasich,Marco Rubio,-0.3182
455,Ben Carson,Bush,0.0
456,Bush,Carly Fiorina,0.0
457,Ben Carson,Carly Fiorina,0.0
458,Bush,Rubio,0.0
459,Bush,Kasich,0.0
460,Kasich,Rubio,0.0
461,Fiorina,Kasich,0.0
462,Carson,Kasich,0.0
463,Bush,Kasich,0.0
464,Carson,Fiorina,0.0
465,Bush,Fiorina,0.0
466,Bush,Carson,0.0
467,Bush,Rubio,-0.34
468,Bush,Kasich,-0.34
469,Kasich,Rubio,-0.34
470,Bush,Kasich,0.0
471,Bush,Rubio,0.0
472,Bush,John Weaver,0.0
473,Bush,Kasich,0.0
474,Kasich,Rubio,0.0
475,John Weaver,Kasich,0.0
476,Kasich,Kasich,0.0
477,John Weaver,Rubio,0.0
478,Kasich,Rubio,0.0
479,John Weaver,Kasich,0.0
480,Carson,Trump,-0.4588
481,Fiorina,Trump,-0.4588
482,Carson,Fiorina,-0.4588
483,Bush,Rubio,0.0
484,Bush,Kasich,0.0
485,Kasich,Rubio,0.0
486,Bush,Cruz,0.7351
487,Bush,Sally Bradshaw,-0.3612
488,Bush,Sally Bradshaw,-0.3612
489,Bush,Bush,-0.3612
490,Bush,Rubio,0.6956
491,Bush,Kasich,0.6956
492,Kasich,Rubio,0.6956
493,Scalia,William O. Ritchie,-0.3818
494,Scalia,Scalia,0.1531
495,Scalia,Scalia,-0.3612
496,McCain,Ronald Reagan,0.0
497,Kellyanne Conway,Trump,0.9134
498,Donald Trump,Donald Trump,0.6369
499,Donald Trump,Donald Trump,0.1766
500,George Deukmejian,Tom Bradley,-0.6369
501,Donald Trump,the Donald Trump,0.6527
502,Hillary Clinton,Jeb Bush,-0.0258
503,Jeb Bush,Marco Rubio,0.6428
504,Mitch McConnell,R-KY,0.0
505,Hillary Clinton's,John Podesta,0.6808
506,Donald Trump,Sarah Palin,-0.3612
507,Bernie Sanders,Jeff Weaver,-0.3182
508,Clinton,Clinton,-0.6369
509,Ali Akbar,Hashemi Rafsanjani,-0.5994
510,Donald Trump,Hillary Clinton,-0.7096
511,Kathleen Willey,Paula Jones,-0.9001
512,Bill Clinton,Paula Jones,-0.9001
513,Juanita Broaddrick,Paula Jones,-0.9001
514,Bill Clinton,Kathleen Willey,-0.9001
515,Juanita Broaddrick,Kathleen Willey,-0.9001
516,Bill Clinton,Juanita Broaddrick,-0.9001
517,Clinton,Trump,-0.8316
518,Barack Obama,Jeff Merkley,0.4019
519,Charles Schumer,Robert Menendez,0.4215
520,Barack,Martin O’Malley,0.2263
521,Hillary Rodham Clinton,Mitch Stewart,0.3818
522,Barack Obama,Mitch Stewart,0.3818
523,Barack Obama,Hillary Rodham Clinton,0.3818
524,Clinton,Stewart,0.7579
525,Clinton,Ready for Hillary,0.7845
526,Obama,Stewart,0.5413
527,Clinton,Obama,0.6683
528,Hillary,Hillary,-0.4215
529,Clinton,Hillary,-0.4215
530,Clinton,Hillary,-0.4215
531,Bill Clinton,Craig T. Smith,0.3612
532,Craig T. Smith,Hillary,0.3612
533,Bill Clinton,Hillary,0.3612
534,Clinton,Obama,0.5426
535,Obama,Stewart,0.5499
536,Clinton,Susie Tompkins Buell,0.0
537,Ann Lewis,Clinton,0.0
538,Clinton,Clintons,0.0
539,Clinton,Jennifer M. Granholm,0.0
540,Clinton,Tracy Sefl,0.0
541,Ann Lewis,Susie Tompkins Buell,0.0
542,Clintons,Susie Tompkins Buell,0.0
543,Jennifer M. Granholm,Susie Tompkins Buell,0.0
544,Susie Tompkins Buell,Tracy Sefl,0.0
545,Ann Lewis,Clintons,0.0
546,Ann Lewis,Jennifer M. Granholm,0.0
547,Ann Lewis,Tracy Sefl,0.0
548,Clintons,Jennifer M. Granholm,0.0
549,Clintons,Tracy Sefl,0.0
550,Jennifer M. Granholm,Tracy Sefl,0.0
551,Hillary,Sefl,0.7845
552,Sefl,Taj Magruder,0.7845
553,Haley Adams,Sefl,0.7845
554,Clinton,Sefl,0.7845
555,Hillary,Taj Magruder,0.7845
556,Haley Adams,Hillary,0.7845
557,Clinton,Hillary,0.7845
558,Haley Adams,Taj Magruder,0.7845
559,Clinton,Taj Magruder,0.7845
560,Clinton,Haley Adams,0.7845
561,Clinton,Hillary Clinton,0.0
562,Sefl,Smith,0.5023
563,Harold Ickes,Smith,0.5023
564,Clinton,Smith,0.5023
565,Harold Ickes,Sefl,0.5023
566,Clinton,Sefl,0.5023
567,Clinton,Harold Ickes,0.5023
568,Geoff Garin,Mark Penn,0.6486
569,Clinton,Geoff Garin,0.6486
570,Clinton,Mark Penn,0.6486
571,Garin,Terry McAuliffe,0.8588
572,Clinton,Terry McAuliffe,0.8588
573,Clinton,Garin,0.8588
574,Clinton,Clinton,0.7269
575,Hillary,Ready,0.7003
576,John Edwards,Ronald Feldman,0.7717
577,Buffett,Van Tuyl,0.3182
578,Berkshire Hathaway,Buffett,-0.1695
579,Buffett,Van Tuyl,-0.2732
580,Federica Mogherini,Mohammad Javad Zarif,0.0
581,Bernie Sanders,Clinton,0.4404
582,HuffPost Comedy's,HuffPost Politics',0.5267
583,HuffPost Comedy's,HuffPost Live's,0.5267
584,HuffPost Live's,HuffPost Politics',0.5267
585,Arthur Hurd,Cynthia Hurd,-0.2732
586,Aidan,Marc,0.3612
587,Bill Clinton,Hope,0.4404
588,Lauren Manning,Ryan Moore,0.3612
589,Debbie St. John,John Dolan,-0.7184
590,Debbie St. John,Joe Sweeney,-0.7184
591,Joe Sweeney,John Dolan,-0.7184
592,Lauren,Obama,0.7783
593,Lauren,Osama bin Laden,0.7783
594,Obama,Osama bin Laden,0.7783
595,Biden,Obama,-0.765
596,Donald Trump,Donald Trump,0.0
597,Captain Khan,Tim Kaine,0.25
598,Captain Khan,Mike Pence,0.25
599,Mike Pence,Tim Kaine,0.25
600,Amir Ali Hajizadeh,Sajjil,0.4767
601,Elizabeth Warren,Hillary Clinton,0.0
602,Clinton,Terry Gross,-0.7789
603,Janna,Ryan,0.2023
604,Obama,Politico,0.6486
605,Jim Jones,John Boehner,-0.6908
606,Bernie Sanders,Hillary Clinton,0.7506
607,Heather Bresch,Mylan,-0.6486
608,Jay Taylor,TPP,0.7096
609,Kevin Moore,Kevin Rector,0.0258
610,Gray,Kevin Rector,0.0258
611,Gray,Kevin Moore,0.0258
612,Davis,Gray,0.5023
613,Allen,Gray,-0.3182
614,Allen,Gray,0.0
615,Allen,WBAL,0.0
616,David Sweat,Richard Matt,-0.128
617,Matt,Mitchell,-0.7003
618,Matt,Mitchell,-0.7184
619,Matt,hacksaw,-0.5994
620,Matt,Matt,-0.5994
621,Matt,hacksaw,-0.5994
622,Matt,William Rickerson,0.0
623,Matt bent,Rickerson,-0.4215
624,Biden,Obama,0.7096
