,nodeA,nodeB,polarity
511,Clinton,Strangelove,-0.5
512,Clinton,«natureboy,-0.5
513,Clinton,David Dayen,0.07142857142857142
514,Clinton,David Dayen,0.175
515,Clinton,David Sirota,0.3
516,Avi Asher-Shapiro,Clinton,0.3
517,Avi Asher-Shapiro,David Sirota,0.3
518,Comey,Hillary Clinton,0.0
519,Anthony Weiner,Comey,0.0
520,Comey,Hillary,0.0
521,Anthony Weiner,Hillary Clinton,0.0
522,Hillary,Hillary Clinton,0.0
523,Anthony Weiner,Hillary,0.0
524,Comey,Hillary Clinton,0.10000000000000002
525,Anderson Cooper,Kellyanne Conway,0.2
526,Hillary Clinton,Kellyanne,0.0
527,Anderson,Kellyanne,0.0
528,Anderson,Hillary Clinton,0.0
529,Anthony Weiner's,Clinton,0.13636363636363635
530,Hillary Clinton,Huma Abedin,0.012121212121212116
531,Clinton,Hillary Clinton,0.012121212121212116
532,Anthony Weiner,Hillary Clinton,0.012121212121212116
533,Clinton,Huma Abedin,0.012121212121212116
534,Anthony Weiner,Huma Abedin,0.012121212121212116
535,Anthony Weiner,Clinton,0.012121212121212116
536,Clinton,David Rutz,0.0
537,Bani Gala,Pervez Khattak,0.0
538,Clinton,Hillary Clinton,0.8
539,Claire Bernish,Tony Podesta,0.05833333333333333
540,Claire Bernish,Hillary Clinton,0.05833333333333333
541,Claire Bernish,John Podesta,0.05833333333333333
542,Claire Bernish,Wikileaks,0.05833333333333333
543,Hillary Clinton,Tony Podesta,0.05833333333333333
544,John Podesta,Tony Podesta,0.05833333333333333
545,Tony Podesta,Wikileaks,0.05833333333333333
546,Hillary Clinton,John Podesta,0.05833333333333333
547,Hillary Clinton,Wikileaks,0.05833333333333333
548,John Podesta,Wikileaks,0.05833333333333333
549,John,Tony Podesta,0.0
550,Bill Clinton,John Podesta,-0.08888888888888889
551,John Podesta,Obama,-0.08888888888888889
552,Hillary Clinton,John Podesta,-0.08888888888888889
553,Bill Clinton,Obama,-0.08888888888888889
554,Bill Clinton,Hillary Clinton,-0.08888888888888889
555,Hillary Clinton,Obama,-0.08888888888888889
556,Hillary Clinton’s,Tony Podesta,-0.125
557,Clinton,Marc Elias,0.21250000000000002
558,Pink Floyd,Roger Waters,-0.05
559,Pink Floyd,Roger Waters,-0.08571428571428572
560,Jim Crow,Roger Waters,-0.08571428571428572
561,Jim Crow,Pink Floyd,-0.08571428571428572
562,Bob Dylan,Neil Young,0.03333333333333333
563,Neil Young,Paul McCartney,0.03333333333333333
564,Bob Dylan,Paul McCartney,0.03333333333333333
565,Pink Floyd,Roger Waters,0.20162337662337662
566,Deportations,Donald Trump's,0.125
567,Lesley Stahl,Paul Ryan,0.2857142857142857
568,Hillary,Oh,-1.0
569,Hillary Clintons,Trump,0.35714285714285715
570,Chris Christie,Mike Pence,0.0
571,Don,Ivanka,0.0
572,Don,Eric,0.0
573,Eric,Ivanka,0.0
574,Barron,Barron,0.0
575,"Donald, Jr.",Trumps,0.4333333333333333
